B0:, R18, R87, R81, R2, R98, R23, R99, R13, R61, R17, R41, R64, R51, R3, R79, R47, R95, R6, R83, R88, R46, R82, R20, R19, R11, R89, R80, R77, R28, R84, R96, R93, R78, R76, R48, R24, R12, R65, R40, R27, R52, R42, R43, R4, R60, R38, R94, R68, R35, R85, R15, R7, R74, R67, R1, R86, R66, R14, R25, R33, R73, R92, R49, R56, R44, R0, R31, R90, R57, R36, R75, R45, R54, R70, R26, R10, R91, R30, R97, R32, R9, R39, R71, R50, R21, R63, R69, R55, R72, R8, R59, R62, R37, R34, R58, R5, R16, R29, R22, R53, 
R76:, B57, B70, B28, B33, B92, B48, B11, B80, B40, B77, B97, B34, B90, B45, B37, B66, B89, B56, B6, B3, B32, B29, B72, B10, B42, B93, B24, B49, B78, B52, B85, B31, B79, B64, B22, B16, B15, B44, B2, B9, B54, B36, B73, B91, B35, B67, B86, B13, B50, B53, B65, B19, B59, B51, B41, B8, B27, B58, B12, B23, B43, B71, B4, B18, B21, B55, B87, B74, B99, B39, B68, B98, B82, B20, B84, B60, B1, B30, B95, B5, B75, B94, B38, B25, B76, B26, B81, B17, B61, B62, B46, B88, B0, B96, B83, B14, B47, B63, B7, B69, 
R77:, B65, B15, B88, B96, B24, B25, B62, B77, B97, B32, B75, B27, B36, B84, B9, B72, B74, B86, B17, B26, B11, B3, B38, B16, B80, B95, B82, B64, B29, B46, B93, B87, B5, B35, B49, B69, B52, B18, B10, B85, B60, B89, B59, B42, B21, B98, B19, B2, B83, B79, B7, B81, B31, B70, B63, B58, B13, B22, B99, B57, B66, B0, B12, B76, B37, B55, B43, B90, B54, B92, B40, B73, B51, B67, B61, B33, B50, B56, B39, B53, B1, B34, B94, B20, B78, B48, B30, B71, B6, B8, B4, B14, B91, B41, B23, B47, B44, B28, B45, B68, 
R78:, B14, B87, B22, B61, B50, B29, B47, B27, B58, B9, B5, B3, B53, B38, B98, B71, B81, B89, B15, B20, B23, B8, B54, B57, B93, B37, B75, B4, B33, B0, B16, B43, B56, B17, B18, B51, B35, B36, B28, B32, B82, B92, B45, B91, B6, B70, B72, B76, B11, B63, B77, B83, B80, B73, B46, B52, B55, B10, B62, B97, B99, B2, B85, B1, B39, B79, B95, B12, B48, B88, B96, B66, B86, B40, B74, B42, B26, B13, B44, B94, B78, B59, B34, B31, B49, B84, B41, B19, B7, B90, B25, B24, B30, B65, B60, B21, B69, B67, B68, B64, 
R79:, B56, B67, B45, B43, B5, B26, B90, B0, B50, B20, B92, B63, B71, B17, B6, B34, B30, B73, B19, B49, B9, B51, B13, B93, B23, B99, B2, B83, B84, B1, B15, B78, B64, B96, B22, B82, B86, B38, B44, B62, B33, B18, B94, B39, B85, B74, B25, B36, B98, B10, B47, B70, B32, B24, B54, B8, B40, B58, B53, B16, B46, B27, B91, B79, B35, B66, B3, B81, B95, B61, B14, B77, B48, B88, B4, B55, B57, B12, B60, B28, B72, B87, B75, B37, B65, B11, B31, B89, B97, B68, B80, B42, B69, B41, B76, B7, B52, B59, B21, B29, 
R80:, B55, B3, B23, B7, B25, B56, B37, B26, B36, B62, B84, B51, B9, B57, B42, B47, B75, B43, B45, B38, B8, B63, B22, B39, B82, B80, B1, B31, B46, B52, B12, B81, B6, B97, B35, B20, B94, B92, B70, B41, B17, B53, B59, B50, B27, B67, B16, B58, B76, B34, B85, B61, B32, B99, B44, B68, B74, B88, B13, B29, B79, B83, B96, B33, B87, B19, B14, B30, B72, B10, B15, B71, B5, B64, B69, B98, B49, B93, B73, B48, B54, B86, B90, B95, B89, B0, B77, B78, B4, B66, B91, B2, B21, B60, B40, B24, B28, B11, B65, B18, 
R81:, B96, B61, B3, B73, B0, B99, B42, B92, B27, B23, B53, B12, B77, B9, B16, B67, B39, B13, B5, B41, B48, B89, B2, B79, B58, B11, B14, B83, B97, B46, B68, B76, B81, B25, B50, B69, B63, B38, B74, B10, B86, B78, B17, B82, B88, B80, B19, B22, B64, B4, B32, B44, B84, B57, B87, B33, B51, B35, B15, B31, B90, B26, B28, B37, B62, B40, B1, B59, B98, B45, B75, B85, B70, B91, B34, B66, B93, B60, B71, B94, B43, B55, B36, B24, B54, B56, B49, B30, B6, B8, B29, B72, B21, B18, B20, B47, B95, B7, B52, B65, 
R82:, B75, B28, B99, B78, B76, B61, B8, B65, B56, B37, B52, B73, B3, B45, B50, B97, B20, B48, B27, B94, B89, B96, B67, B25, B80, B83, B22, B64, B30, B9, B24, B1, B14, B69, B41, B31, B85, B21, B62, B72, B66, B46, B92, B84, B2, B55, B68, B4, B38, B87, B86, B51, B40, B39, B60, B29, B44, B11, B47, B98, B91, B15, B81, B33, B7, B19, B59, B63, B77, B70, B16, B23, B95, B26, B82, B5, B90, B34, B17, B35, B49, B36, B71, B58, B79, B10, B13, B53, B12, B88, B32, B54, B18, B74, B6, B57, B0, B43, B42, B93, 
R83:, B4, B93, B26, B15, B20, B12, B80, B52, B69, B95, B13, B97, B30, B51, B11, B53, B33, B2, B57, B0, B78, B40, B5, B88, B31, B48, B23, B79, B14, B65, B36, B54, B58, B44, B96, B94, B85, B39, B1, B35, B37, B28, B24, B7, B91, B87, B75, B92, B99, B42, B59, B67, B25, B90, B72, B46, B32, B55, B61, B47, B73, B16, B64, B29, B77, B83, B41, B21, B62, B27, B70, B17, B22, B18, B71, B43, B56, B66, B98, B81, B82, B45, B49, B86, B74, B89, B19, B50, B60, B63, B34, B9, B68, B76, B10, B6, B84, B38, B8, B3, 
R84:, B58, B59, B65, B22, B64, B2, B8, B49, B60, B52, B73, B16, B79, B88, B90, B28, B12, B98, B72, B95, B37, B24, B63, B21, B55, B91, B42, B1, B33, B67, B69, B83, B46, B93, B80, B27, B89, B48, B84, B6, B32, B53, B68, B19, B97, B13, B17, B77, B87, B61, B0, B9, B66, B35, B56, B3, B20, B85, B36, B70, B11, B30, B45, B47, B34, B44, B96, B62, B78, B26, B39, B76, B54, B31, B4, B71, B25, B50, B75, B43, B94, B82, B18, B14, B15, B40, B81, B23, B5, B51, B74, B41, B10, B57, B29, B7, B86, B92, B38, B99, 
R85:, B34, B69, B55, B99, B52, B28, B31, B35, B72, B32, B78, B73, B40, B67, B88, B96, B81, B95, B42, B17, B70, B65, B74, B51, B83, B15, B59, B71, B87, B48, B80, B21, B92, B9, B90, B7, B29, B47, B60, B50, B25, B4, B5, B38, B20, B11, B46, B93, B10, B44, B63, B24, B53, B22, B82, B79, B14, B41, B91, B6, B27, B86, B3, B66, B57, B39, B84, B98, B23, B54, B58, B61, B94, B30, B37, B43, B26, B64, B89, B36, B85, B1, B16, B2, B0, B62, B77, B8, B13, B68, B33, B19, B45, B75, B76, B97, B18, B56, B49, B12, 
R86:, B14, B32, B6, B50, B81, B47, B37, B90, B88, B76, B52, B2, B89, B91, B58, B62, B83, B68, B18, B43, B29, B33, B73, B74, B23, B13, B15, B0, B92, B38, B39, B3, B60, B57, B80, B26, B70, B11, B22, B49, B8, B95, B63, B17, B41, B71, B75, B40, B97, B48, B7, B84, B36, B44, B54, B65, B53, B56, B64, B86, B28, B21, B30, B12, B77, B20, B10, B59, B27, B1, B94, B16, B45, B35, B61, B5, B96, B51, B19, B98, B67, B31, B72, B87, B25, B78, B55, B79, B4, B99, B46, B82, B69, B66, B9, B93, B24, B85, B42, B34, 
R87:, B97, B69, B46, B82, B91, B34, B50, B20, B44, B6, B67, B7, B66, B75, B72, B1, B30, B98, B14, B18, B60, B57, B28, B47, B81, B41, B96, B25, B78, B84, B93, B42, B3, B53, B38, B74, B10, B68, B88, B65, B71, B80, B40, B8, B0, B37, B48, B35, B17, B79, B9, B16, B87, B51, B62, B32, B21, B85, B89, B92, B45, B22, B73, B5, B63, B77, B4, B94, B95, B49, B54, B31, B24, B64, B13, B12, B58, B55, B29, B2, B52, B33, B15, B76, B99, B61, B56, B70, B27, B11, B59, B23, B36, B83, B90, B39, B86, B43, B19, B26, 
R88:, B66, B78, B4, B86, B39, B20, B13, B67, B25, B6, B97, B36, B38, B49, B47, B37, B87, B7, B41, B21, B94, B89, B44, B91, B30, B53, B3, B65, B45, B69, B51, B31, B12, B76, B1, B50, B58, B90, B40, B75, B64, B56, B57, B98, B79, B23, B27, B28, B92, B19, B48, B63, B34, B24, B60, B0, B73, B32, B43, B95, B5, B11, B93, B83, B70, B85, B33, B74, B42, B22, B99, B61, B46, B55, B59, B14, B16, B29, B81, B62, B54, B88, B68, B71, B26, B80, B35, B17, B77, B52, B9, B10, B96, B2, B82, B72, B15, B8, B84, B18, 
R89:, B78, B8, B3, B28, B30, B59, B31, B23, B17, B88, B81, B0, B92, B80, B62, B60, B68, B24, B96, B40, B19, B1, B37, B6, B56, B9, B18, B50, B93, B82, B77, B98, B65, B76, B15, B27, B10, B94, B39, B47, B87, B83, B58, B55, B79, B67, B22, B38, B72, B73, B64, B49, B13, B51, B63, B48, B70, B26, B16, B42, B36, B7, B12, B85, B89, B52, B91, B41, B75, B35, B11, B21, B46, B90, B71, B2, B86, B25, B57, B84, B45, B97, B34, B5, B95, B66, B20, B54, B4, B61, B43, B99, B69, B14, B53, B74, B32, B33, B29, B44, 
R90:, B49, B19, B82, B22, B89, B69, B18, B78, B36, B40, B10, B85, B1, B99, B23, B63, B76, B15, B46, B97, B48, B80, B32, B35, B45, B47, B14, B37, B88, B20, B73, B79, B58, B6, B92, B66, B81, B60, B61, B84, B74, B16, B30, B87, B62, B91, B94, B53, B56, B5, B9, B71, B75, B31, B93, B83, B39, B11, B21, B42, B98, B67, B26, B44, B95, B54, B59, B96, B50, B7, B51, B68, B29, B65, B57, B72, B25, B38, B34, B41, B3, B86, B64, B13, B77, B90, B4, B52, B24, B0, B27, B12, B70, B8, B43, B17, B2, B28, B33, B55, 
R91:, B21, B52, B36, B85, B28, B67, B40, B42, B88, B90, B51, B18, B71, B9, B92, B62, B12, B1, B79, B84, B65, B6, B45, B99, B77, B0, B61, B60, B70, B47, B59, B33, B19, B86, B91, B43, B17, B39, B72, B24, B3, B48, B83, B56, B32, B7, B14, B34, B98, B89, B78, B63, B44, B68, B22, B11, B95, B80, B81, B73, B66, B23, B76, B41, B2, B97, B27, B82, B8, B35, B49, B4, B55, B93, B5, B50, B69, B46, B25, B29, B15, B57, B37, B20, B58, B53, B87, B16, B10, B38, B54, B75, B31, B74, B64, B96, B94, B30, B13, B26, 
R92:, B65, B98, B96, B22, B93, B37, B90, B56, B62, B35, B40, B99, B44, B12, B18, B86, B42, B74, B75, B48, B83, B13, B58, B6, B54, B53, B49, B81, B71, B89, B34, B24, B92, B29, B38, B64, B60, B31, B68, B46, B82, B27, B20, B11, B1, B41, B9, B85, B73, B67, B72, B25, B52, B17, B43, B59, B55, B95, B80, B88, B77, B2, B97, B79, B32, B50, B3, B21, B0, B39, B78, B33, B8, B51, B15, B94, B14, B5, B61, B23, B7, B4, B76, B28, B30, B70, B36, B69, B57, B19, B87, B91, B26, B45, B10, B84, B47, B66, B63, B16, 
R93:, B37, B71, B81, B21, B88, B75, B74, B95, B58, B8, B9, B99, B0, B77, B15, B73, B45, B78, B50, B14, B60, B84, B12, B80, B1, B89, B51, B23, B40, B59, B13, B90, B72, B20, B5, B25, B52, B57, B42, B27, B49, B69, B39, B47, B2, B29, B64, B28, B48, B91, B54, B61, B93, B98, B53, B35, B36, B24, B38, B11, B19, B65, B76, B18, B83, B3, B17, B70, B62, B44, B10, B97, B4, B94, B6, B82, B34, B32, B7, B31, B96, B68, B79, B43, B63, B67, B30, B56, B46, B22, B85, B41, B86, B66, B26, B55, B16, B87, B92, B33, 
R94:, B96, B18, B75, B80, B46, B69, B22, B83, B21, B39, B57, B1, B0, B87, B60, B3, B74, B29, B13, B82, B88, B10, B28, B89, B61, B65, B36, B95, B98, B45, B43, B99, B91, B62, B85, B9, B15, B35, B92, B84, B41, B94, B68, B33, B97, B24, B16, B11, B72, B5, B93, B78, B47, B56, B37, B66, B86, B44, B76, B40, B81, B6, B70, B49, B34, B26, B32, B30, B23, B50, B17, B79, B58, B20, B52, B71, B19, B51, B90, B64, B25, B55, B8, B27, B4, B2, B54, B14, B7, B53, B67, B42, B63, B77, B38, B59, B12, B73, B31, B48, 
R95:, B86, B91, B18, B42, B35, B21, B90, B19, B16, B28, B48, B15, B92, B98, B99, B36, B11, B71, B49, B20, B24, B43, B39, B1, B83, B13, B80, B58, B61, B38, B2, B0, B10, B81, B25, B69, B50, B68, B37, B5, B70, B87, B95, B51, B89, B45, B77, B12, B8, B23, B33, B75, B63, B65, B54, B34, B55, B85, B44, B96, B76, B57, B46, B62, B74, B59, B88, B84, B66, B6, B7, B97, B22, B17, B52, B78, B32, B41, B40, B64, B14, B82, B60, B93, B26, B73, B47, B30, B72, B9, B67, B56, B29, B53, B27, B79, B4, B31, B94, B3, 
R96:, B70, B71, B69, B87, B29, B45, B44, B36, B86, B40, B94, B11, B64, B76, B34, B7, B58, B74, B77, B99, B38, B97, B2, B62, B24, B91, B10, B47, B49, B81, B89, B46, B95, B67, B15, B55, B14, B61, B83, B18, B30, B27, B90, B84, B50, B17, B39, B65, B37, B88, B20, B33, B72, B16, B57, B13, B82, B96, B8, B0, B9, B80, B51, B75, B3, B19, B73, B98, B63, B31, B23, B52, B60, B79, B54, B59, B35, B25, B66, B22, B4, B26, B6, B41, B48, B53, B21, B43, B28, B85, B1, B42, B93, B56, B92, B5, B12, B68, B78, B32, 
R97:, B75, B84, B33, B51, B87, B26, B63, B50, B7, B36, B60, B53, B62, B47, B32, B52, B97, B91, B38, B22, B81, B56, B69, B40, B35, B94, B23, B43, B89, B72, B6, B48, B14, B28, B79, B92, B10, B11, B58, B68, B1, B82, B0, B88, B49, B95, B93, B29, B25, B98, B21, B42, B66, B12, B37, B41, B70, B17, B65, B15, B71, B96, B3, B20, B45, B78, B99, B54, B27, B80, B44, B83, B46, B24, B74, B64, B57, B73, B18, B16, B86, B13, B59, B8, B90, B4, B39, B85, B30, B61, B2, B67, B34, B31, B19, B77, B9, B76, B5, B55, 
R98:, B26, B74, B34, B30, B35, B6, B96, B93, B76, B15, B31, B47, B50, B91, B58, B54, B53, B72, B8, B99, B48, B10, B85, B33, B17, B27, B5, B80, B97, B63, B55, B61, B90, B24, B57, B70, B78, B32, B75, B3, B21, B89, B39, B25, B82, B88, B73, B18, B40, B29, B9, B36, B77, B95, B1, B68, B83, B46, B43, B84, B2, B81, B37, B64, B71, B44, B42, B59, B38, B49, B20, B23, B19, B65, B0, B51, B14, B79, B60, B94, B12, B69, B56, B4, B45, B28, B92, B7, B22, B11, B13, B62, B87, B67, B16, B52, B66, B41, B86, B98, 
R99:, B3, B51, B24, B46, B80, B62, B39, B55, B17, B32, B13, B70, B21, B47, B36, B7, B8, B6, B5, B38, B97, B94, B22, B0, B85, B77, B35, B23, B20, B25, B61, B81, B28, B65, B29, B96, B4, B76, B14, B59, B33, B91, B98, B41, B84, B79, B10, B50, B69, B19, B58, B78, B53, B90, B92, B26, B60, B64, B9, B83, B82, B34, B74, B87, B57, B15, B48, B56, B18, B54, B67, B72, B66, B12, B31, B2, B16, B99, B52, B1, B88, B95, B11, B42, B89, B49, B30, B93, B44, B63, B75, B68, B71, B43, B45, B73, B37, B27, B86, B40, 
